undl_id,keywords
278761,"chemical and bacteriological weapon, resolution"
278762,"conventional disarmament, resolution"
278763,"General Assembly, military capabilities, resolution"
278764,"fissionable material, resolution, weapons"
278765,"confidence-building measures, naval armaments, seas and ocean"
278766,"arms race, naval arms"
278767,"General Assembly, Independent Commission on Disarmament and Security Issues"
278768,"General Assembly, comprehensive study, nuclear weapon-free zones, nuclear-weapon-free zones"
278769,"disarmament, disorution, resolution"
278770,"Declaration on the Strengthening of International Security, International Security"
278771,"Charter of the United Nations for the maintenance of international peace and security, General Assembly, international peace and security, resolution"
278772,"confidence-building, international economic relations"
278773,"Economic measures, Economic resolution, Political and economic coercion against developing countries"
278774,"General Assembly, United Nations, disaster situations, natural disasters, resolution"
278775,"biennium, programme budget, resolution"
278776,"General Assembly, postage stamps, resolution"
278777,"International Civil Service Commission, United Nations common system, resolution"
278779,"United Nations Joint Staff Pension Board, resolution"
278780,"biennium, programme budget, resolution"
278781,"United Nations, health insurance, resolution"
278782,"biennium, budget appropriations"
278783,"appropriation, financing, resolution"
278784,"biennium, expenses, extraordinary expense"
278785,"Capital Fund for the biennium 1983-1985, Working Capital Fund"
278786,"International Court of Justice, Pension scheme"
278816,"Africa, South Africa, resolution"
278835,"Kampuchea, resolution"
278836,"Falkland Island (Malvinas), resolution"
278837,"General Assembly, conference, resolution"
278838,"League of Arab States, United Nations, co-operation, cooperation between the United States"
278839,"Declaration on the Right of People to Peace, General Assembly"
278840,"Afghanistan, international peace and security"
278841,"General Assembly, Iraqi nuclear installations, Israeli aggression, international peace and security, non-proliferation, nuclear energy, nuclear weapon, resolution, security"
278842,"Africa, South Africa, assistance, colonialist régime, human rights, resolution"
278843,"General Assembly, colonial countries, human rights, independence, resolution, self-determination"
278844,International Convention on the Suppression and Punishment of Crime of Apartheid
278847,"General Assembly, non-nuclear-weapon, non-nuclear-weapon States, nuclear weapon use, resolution, threat of use"
278848,Committee on the Elimination of Racial Discrimination
278851,"Mayotte, comorian sland, resolution"
278852,"Western Sahara, resolution"
278853,"Charter of the United Nations, non-self-governing territories"
278854,"Africa, Colonial Countries, Colonial Countries and Peoples, Declaration on the Granting of Independence to Colonials and other interests, General Assembly, Namibia, apartheid, colonialism, foreign economic interests, racial discrimination, resolution, southern Africa"
278855,"Colonial Countries and Peoples, Declaration on the granting of Independence to Colonialization, General Assembly, United Nations, resolution"
278856,"Mayotte, comorian sland, resolution"
278857,"Palestine, resolution"
278858,"Palestine, resolution"
278859,"Palestine, resolution"
278860,"League of Arab States, United Nations, co-operation, cooperation between the United States"
278862,"Palestine, resolution"
278863,"Africa, South Africa, illegal occupation of the Territory by South Africa"
278864,"Namibia, Security Council resolution 435 (1978)"
278865,"UN Council for Namibia, programme of work, resolution"
278866,"Namibia, information, public opinion, resolution"
278867,"UN Fund for Namibia, resolution"
278868,"Additional Protocol I of the Treaty for the Prohibition of Nuclear Weapon, Additional Protocol I of the Treaty for the Prohibition of Nuclear Weapon in Latin America (Treaty of Tlatelolco), General Assembly, Latin America, Tlatelolco"
278869,"nuclear weapon, test explosions"
278870,"comprehension, nuclear-test-ban treaty"
278871,"South Asia, nuclear-weapon-free zone"
278872,"General Assembly, non-nuclear-weapon, non-nuclear-weapon States, nuclear weapon use, resolution, threat of use"
278873,"assure, nuclear weapon, nuclear weapons, resolution"
278874,"arms race, outer space, resolution"
278875,"General Assembly resolution 38/72, nuclear weapon test"
278876,"Africa, Declaration on the Denuclearization of Africa"
278877,"Africa, Declaration on the Denuclearization of Africa, nuclear capability"
278878,"development, mass destruction, resolution"
278879,"World Disarmament Campaign, World War II"
278880,"General Assembly, Nuclear-arms freeze"
278881,"World Disarmament Campaign, World War II"
278882,"freeze, nuclear weapon, resolution"
278883,"convention on the prohibition of the use of Nuclear Weapon, resolution"
278884,"Disarmament, International security"
278885,"military budget, resolution"
278886,"chemical and bacteriological weapon, resolution"
278887,"bacteriological weapons, resolution"
278888,"chemical and bacteriological weapon, resolution"
278889,"General Assembly, reimbursement, troop-contributing States"
278891,"Lebanon, United Nations Interim Force"
278892,"apartheid regime, liberation struggle, resolution"
278893,"Apartheid, General Assembly, Special Committee"
278894,"Israel, Relations between Israel and South Africa, South Africa"
278895,"apartheid in sport, resolution"
278896,"apartheid, public action, public information"
278897,"apartheid, elimination, resolution"
278898,"law of the sea, resolution"
278899,"international economic order, international law, resolution"
278900,"African Union, Arab States, General Assembly, United Arab States, national liberation movement, resolution"
278901,"Mankind, draft code of offence, resolution"
278902,"International Relations, Non-Use of Force, Special Committee on Enhancing the Effectiveness of the Principle of Non-Use of Force"
278903,multilateral treaty-making process
278904,"Colonial Countries and People, Declaration on the granting of Independence to Colonials and People"
278905,"decolonization, resolution"
278906,"Colonial Countries and People, Colonial Countries and Peoples, Declaration on the granting of Independence to Colonials and People, General Assembly, Independence"
278907,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
278908,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
278909,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
278910,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
278911,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
278912,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
278913,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
278915,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
278916,"General Assembly, information, resolution"
278917,"General Assembly, information, resolution"
278918,"Palestine refugees, UN Relief and Work Agency, resolution"
278919,"Member States of grants and scholarships for higher education, Palestine Refugees, Palestine refugees, UN Relief and Works Agency, vocational training"
278920,"Gaza Strip, Palestine refugees"
278921,"General Assembly, Palestine refugees, UN Relief and Work Agency, resolution"
278922,"Palestine Refugees, UN Relief and Work Agency, population, refugees, resolution"
278923,"Palestine Refugees, Palestine refugee properties, UN Relief and Work Agency, resolution"
278924,"Palestine refugees, UN Relief and Work Agency for Palestines in the Near East, resolution"
278925,"Palestine refugees, UN Relief and Work Agency, West Bank resolution"
278926,"Al-Quds, Jerusalem, Palestine refugees, UN Relief and Work Agency for Palestine Refugees in the Near East, resolution"
278927,"Dead Sea, Mediterranean Sea"
278928,"El Salvador, fundamental freedoms, resolution"
278929,"Guatemala, fundamental freedoms, resolution"
278930,"Chile, fundamental freedoms, human rights, resolution"
278931,"regional commission, senior women’s programme officers"
278932,"Discrimination against Women, Women, Women’s discrimination"
278933,"General Assembly, Human rights, scientific and technological development"
278934,"General Assembly, scientific and technological development"
278935,"Death Penalty, General Assembly, International Covenant on Civil and Political Right Aiming, abolition, death penalty, resolution"
278937,"General Assembly, United Nations System, fundamental freedoms, human rights, resolution"
278939,"Middle East, Middle East resolution"
278941,"Middle East, Middle East resolution"
278942,"Middle East, Middle East resolution"
278943,"Israeli nuclear armament, resolution"
278944,"disarmament measures, resolution"
278945,Bilateral nuclear-arms negotiations
278946,"General Assembly, Nuclear weapon, resolution"
278947,"nuclear weapon, resolution"
278948,nuclear neutron weapon
278949,"climatic effect, nuclear war, resolution"
278950,Bilateral nuclear-arms negotiations
278951,"United Nations Institute for Disarmament Research, resolution"
278952,"Disarmament Week, General Assembly"
278953,"cessation, nuclear disarmament, resolution"
278954,"general Assembly, resolution of the 10th special ession"
278955,International co-operation for disarmament resolution
278956,"Disarmament Resolution, General Assembly"
278957,"general Assembly, resolution of the 10th special ession"
278958,"nuclear war, resolution"
278959,"Environmental Modification Techniques, General Assembly, Military"
278960,"question of nuclear-weapon-free zones, resolution"
278961,Nuclear-weapon freeze
278962,"General Assembly, United Nations System, arms limitation, arms limitation and disarmament, disarmament resolution, resolution"
278963,"General Assembly, military research, resolution"
278964,"fissionable material, resolution, weapons"
278965,"naval arms race, resolution"
278966,"Declaration on the Strengthening of International Security Resolution, General Assembly"
278967,Declaration on the Preparation of Societies for Life in Peace
278968,"Charter of the United Nations for the maintenance of international peace and security, General Assembly, international peace and security, resolution"
278969,"General Assembly, State terrorism, resolution, socio-political system"
278970,"general Assembly, general resolution"
278971,"Charter of Economic Rights and Duties of States, Economic rights of States"
278972,"general Assembly, resolution, war"
278973,"Palestinian people, living condition"
278974,"United Nations Institute for Training and Research, long-term financing"
278975,"Economic measures, Economic resolution, Political and economic coercion against developing countries"
278976,"General Assembly, resolution, reverse transfer of technology"
278977,"economic cooperation, international co-operation"
278978,United Nations Special Fund for Land-locked Developing Countries
278979,"Economic development project, Palestinian territories"
278980,"Palestinian people, resolution"
278981,"confidence-building, international economic relations"
278982,"environment protection, health protection"
278983,"Africa, Transport and Communication Decade"
278984,"General Assembly, Industrial development co-operation"
278985,"Africa, Industrial Development Decade"
278986,"biennium, programme budget, resolution"
278987,"biennium, programme budget, resolution"
278988,"biennium, programme budget, resolution"
278990,"biennium, programme budget, resolution"
278991,"biennium 1983-1985, budget appropriations, resolution"
278992,"biennium, income estimates, resolution"
278993,"Financing appropriations, General Assembly, resolution"
278994,"United Nations, inflation, monetary instability"
278995,"Economic Commission for Western Asia, Staff and administrative questions"
279735,"General Assembly, Iraqi nuclear installations, Israeli aggression, international peace and security, non-proliferation, nuclear energy, nuclear weapon, resolution, security"
279736,"Kampuchea, resolution"
279737,"General Assembly, people to peace, resolution"
279738,"Afghanistan, international peace and security"
279739,"Bilateral nuclear-arms, negotiations resolutio"
279740,"countries of origin, cultural property, resolution"
279741,"Falkland Island (Malvinas), resolution"
279742,"General Assembly, National experience, social and economic changes"
279743,"General Assembly, colonial countries, human rights, independence, resolution, self-determination"
279744,International Convention on the Suppression and Punishment of Crime of Apartheid
279745,Committee on the Elimination of Racial Discrimination
279746,"Western Sahara, resolution"
279747,"Charter of the United Nations, Non-Self-Governing Territories"
279748,"Africa, Colonial Countries, Colonial Countries and Peoples, Declaration on the Granting of Independence to Colonials and other interests, General Assembly, Namibia, apartheid, colonialism, foreign economic interests, racial discrimination, resolution, southern Africa"
279749,"Colonial Countries and Peoples, Declaration on the granting of Independence to Colonialization, General Assembly, United Nations, resolution"
279750,"Colonial Countries and People, Declaration on the granting of Independence to Colonials and People"
279751,"Colonial Countries and People, Declaration on the granting of Independence to Colonials and People"
279752,"decolonization, resolution"
279753,"UN Disengagement Observer Force, financing, resolution"
279754,"UN Disengagement Observer Force, financing, resolution"
279786,"law of the sea, resolution"
279787,"South Africa, resolution"
279788,"South Africa, liberation movement, resolution"
279789,"Africa, South Africa, World Conference on Sanction AGAINST RACISM"
279790,"apartheid, public action, public information"
279791,"Israel, Relations between Israel and South Africa, South Africa"
279792,"Apartheid, General Assembly, Special Committee"
279793,"Apartheid in Sports, Sports resolution"
279794,"apartheid, elimination, resolution"
279795,"international economic order, international law, resolution"
279796,"Mankind, draft code of offence, resolution"
279797,"International Relations, Non-Use of Force, Special Committee on Enhancing the Effectiveness of the Principle of Non-Use of Force"
279798,"Additional Protocol I of the Treaty for the Prohibition of Nuclear Weapon, Additional Protocol I of the Treaty for the Prohibition of Nuclear Weapon in Latin America (Treaty of Tlatelolco), General Assembly, Latin America, Tlatelolco"
279799,"nuclear weapon, test explosions"
279800,"nuclear weapon, test explosions"
279801,"comprehension, nuclear-test-ban treaty"
279802,"South Asia, nuclear-weapon-free zone"
279803,"assure, nuclear weapon, nuclear weapons, resolution"
279804,"arms race, outer space, resolution"
279805,"General Assembly, immediate cessation, nuclear weapon test"
279807,"Africa, Declaration on the Denuclearization of Africa"
279808,"Africa, Declaration on the Denuclearization of Africa, nuclear capability"
279809,"development, mass destruction, resolution"
279810,REDUCTION OF MILITARY BUDGETS
279811,"CHEMICAL AND BACTERIOLOGICAL WEAPONS, PROHIBITION"
279812,CHEMICAL AND BACTERIOLOGICAL WEAPONS
279813,"Israeli nuclear armament, resolution"
279814,"conventional disarmament, regional scale"
279815,"complete disarmament, naval arms race"
279816,"complete disarmament, fissionable material, resolution"
279817,"disarmament, nuclear weapon freeze"
279818,"complete disarmament, confidence-building measures, naval armaments, naval arms race, ocean, resolution"
279819,"complete disarmament, military"
279820,"arms limitation, disarmament agreement"
279821,"Non Protection, Non-Proliferation of Nuclear Weapon"
279822,"complete disarmament, international peace and security"
279823,"Palestine, resolution"
279824,"Palestine, resolution"
279825,"Palestine, resolution"
279826,"Palestine, resolution"
279827,"Africa, Namibia, South Africa, resolution, territory"
279828,"Namibia, Security Council resolution 435 (1978)"
279829,"UN Council for Namibia, programme of work, resolution"
279830,"Namibia, information and mobillization of international public opinion, resolution, support"
279831,"UN Fund for Namibia, resolution"
279832,"General Assembly, question of Namibia"
279833,"General Assembly, World economy, resolution, social situation"
279834,"General Assembly, scientific and technological development"
279835,"General Assembly, Human rights, scientific and technological development"
279836,"interdependence of economic and political ights, interdivisibility, social rights"
279837,"General Assembly, United Nations System, fundamental freedoms, human rights, resolution"
279838,"Afghanistan, fundamental freedoms, resolution"
279839,"El Salvador, fundamental freedoms, resolution"
279840,"Guatemala, fundamental freedoms, resolution"
279841,"Islamic Republic of Iran, resolution"
279842,"Chile, fundamental freedoms, human rights, resolution"
279843,"Fascist, General Assembly, fascist activities, neo-Fascist ideologies, racial intolerance, resolution, terror, totalitarian ideologies"
279844,"Declaration on the Strengthening of International Security, International Security"
279845,"Charter of the United Nations for the maintenance of international peace and security, General Assembly, international peace and security, resolution"
279846,"Antarctica, General Assembly"
279847,"general Assembly, recommendations, resolution"
279848,"nuclear war, resolution"
279849,"Antarctica, General Assembly"
279850,"cessation, nuclear disarmament, resolution"
279851,"Antarctica, General Assembly"
279852,"General Assembly, armaments race, peace, security, social consequences"
279853,"Disarmament, International security"
279854,"General Assembly, Nuclear-arms freeze"
279855,"World Disarmament Campaign, World War II"
279856,"General Assembly, Nuclear weapon, resolution"
279857,"nuclear weapon, resolution"
279858,"Bilateral nuclear-arms, space arms"
279859,"convention on the prohibition of the use of Nuclear Weapon, resolution"
279860,"UN programmes, disarmament, fellowship"
279861,"World Disarmament Campaign, World War II"
279862,"freeze, nuclear weapon, resolution"
279863,International co-operation for disarmament resolution
279864,nuclear neutron weapon
279865,"Disarmament Week, General Assembly"
279866,"climatic effects, nuclear war, resolution"
279867,"Disarmament Resolution, General Assembly"
279868,"general Assembly, resolution of the 10th special ession"
279869,"Isareli Practices affecting the Human Right of the Population of the Occupied Territories, Occupied Territories, Resolution"
279870,"Isareli Practices affecting the Human Right of the Population of the Occupied Territories, Occupied Territories, Resolution"
279871,"Isareli Practices affecting the Human Right of the Population of the Occupied Territories, Occupied Territories, Resolution"
279873,"Isareli Practices affecting the Human Right of the Population of the Occupied Territories, Occupied Territories, Resolution"
279874,"Isareli Practices affecting the Human Right of the Population of the Occupied Territories, Occupied Territories, Resolution"
279875,"Isareli Practices affecting the Human Right of the Population of the Occupied Territories, Occupied Territories, Resolution"
279876,"Isareli Practices affecting the Human Right of the Population of the Occupied Territories, Occupied Territories, Resolution"
279877,"General Assembly, information, resolution"
279878,"General Assembly, information, resolution"
279879,"Palestine refugees, UNRWA, resolution"
279880,"Palestine refugees, education, higher education, vocational training"
279881,"Gaza Strip, Palestine refugees"
279882,"Palestine refugees, UNRWA, resolution"
279883,"UNRWA, refugees, resolution"
279884,"Palestine refugees, UNRWA, resolution"
279885,"Palestine refugees, UNRWA, resolution"
279886,"Palestine refugees, UNRWA"
279887,"Palestine refugees, UNRWA, resolution"
279888,"Dead Sea, Mediterranean Sea"
279889,"Middle East, Middle East resolution"
279890,"Middle East, Middle East resolution"
279891,"Middle East, Middle East resolution"
279892,"Economic development project, Palestinian territories"
279893,"Palestinian people, resolution"
279894,"economic security, resolution"
279895,"Charter of Economic Rights and Duties of States, Economic rights of States"
279896,"developing countries, land-locked development"
279897,"Economic measures, Economic resolution, Political and economic coercion against developing countries"
279898,"Nicaragua, development, resolution, trade embargo"
279899,"General Assembly, resolution, transfer of technology"
279900,"general Assembly, resolution, war"
279901,"co-operation, environment, resolution"
279902,"Palestinian people, living condition"
279903,"economic development, long-term trend"
279904,"biennium, programme budget, resolution"
279905,"financial emergency, resolution"
279906,"Lebanon, UN Interim Force"
279907,"Lebanon, UN Interim Force"
279908,"General Assembly, reimbursement, troop-contributing States"
279909,"United Nations, apportionment of the expenses of the United States"
279910,"General Assembly, UN Office in Nairobi"
279911,"biennium 1986-1987, budget appropriations, resolution"
279912,"biennium 1986-1987, income estimates"
279913,"appropriations for the year 1986, resolution"
279914,"biennium 1986-1987, expenses, extraordinary expense"
279915,"Capital Fund for the biennium 1986-1987, Working Capital Fund"
279916,"International Court of Justice, emoluments, pension scheme, resolutions"
280663,"League of Arab States, United Nations, co-operation, cooperation between the United States"
280664,"Kampuchea, resolution"
280665,"General Assembly, Iraqi nuclear installations, Israeli aggression, international peace and security, non-proliferation, nuclear energy, nuclear weapon, resolution, security"
280666,"Charter of the United Nations, Non-Self-Governing Territories"
280668,"Africa, Colonial Countries, Colonial Countries and Peoples, Declaration on the Granting of Independence to Colonials and other interests, General Assembly, Namibia, apartheid, colonialism, foreign economic interests, racial discrimination, resolution, southern Africa"
280669,"Colonial Countries and Peoples, Declaration on the granting of Independence to Colonialization, General Assembly, United Nations, resolution"
280670,"Western Sahara, resolution"
280671,"Mayotte, comorian sland, resolution"
280672,"General Assembly, International Court of Justice of 27 June 1986, Nicaragua, compliance, military, military paramilitary activities, paramilitary activities, resolution"
280673,"Afghanistan, international peace and security"
280674,"law of the sea, resolution"
280675,"South Africa, liberation movement, resolution"
280676,"South Africa, racist regime, resolution"
280677,"Israel, Relations between Israel and South Africa, South Africa"
280678,"Apartheid, General Assembly, Special Committee"
280679,International Convention against Apartheid in Sports
280680,"South Africa, oil embargo"
280681,"apartheid, elimination, resolution"
280682,"African Union, African Unity, Arab Islam, Arab Jamahiriy Islam, General Assembly, Islamic Islam, United States Administration, aerial and naval military attack, aerial and naval military attack against Africa, resolution"
280683,"Africa, Namibia, illegal occupation of the Territory by South Africa"
280684,"Namibia, Security Council resolution 435 (1978)"
280685,"UN Council for Namibia, programme of work, resolution"
280686,"Namibia, immediate independence, information, international public opinion, resolution"
280687,"UN Fund for Namibia, resolution"
280688,"Falkland Island (Malvinas), resolution"
280689,"Colonial Countries and People, Declaration on the granting of Independence to Colonials and People"
280690,"Colonial Countries and People, Declaration on the granting of Independence to Colonials and People"
280691,"decolonization, resolution"
280692,"Palestine, resolution"
280693,"Palestine, resolution"
280694,"Palestine, resolution"
280695,"Palestine, resolution"
280696,"UN Disengagement Observer Force, financing, resolution"
280697,"UN Disengagement Observer Force, financing, resolution"
280698,"Additional Protocol I of the Treaty for the Prohibition of Nuclear Weapon, Additional Protocol I of the Treaty for the Prohibition of Nuclear Weapon in Latin America (Treaty of Tlatelolco), General Assembly, Latin America, Tlatelolco"
280699,"cessation, nuclear-test explosions"
280700,"cessation, nuclear-test explosions"
280701,"comprehension, nuclear-test-ban treaty"
280702,"South Asia, nuclear-weapon-free zone"
280703,"General Assembly, non-nuclear-weapon States, non-nuclear-weapons, nuclear weapon, nuclear weapon use, resolution, security"
280704,"assure, nuclear weapon, nuclear weapons, resolution"
280705,"arms race, outer space, resolution"
280706,"General Assembly, immediate cessation, nuclear weapon test"
280707,"Africa, Declaration on the Denuclearization of Africa"
280708,"AFRICA, DENUCLEARIZATION OF SOUTH AFRICA"
280709,"development, mass destruction, resolution"
280710,"CHEMICAL AND BACTERIOLOGICAL WEAPONS, PROHIBITION"
280711,CHEMICAL AND BACTERIOLOGICAL WEAPONS
280712,"complete disarmament, military"
280713,"UN system, arms, arms limitation and disarmament, complete disarmament, disarmament, limitation, limitation resolution, organizations and programmes of the UN system"
280714,"confidence-building measures, conventional disarmament, security"
280715,"General Assembly, conventional disarmament, resolution"
280716,"General Assembly, development, military use of research and development, resolution"
280717,"complete disarmament, radiological weapons, stockpiling"
280718,"General Assembly, disarmament, naval armament"
280719,"complete disarmament, fissionable material, resolution"
280720,"conventional disarmament, regional basis"
280721,"complete disarmament, nuclear test"
280722,"General Assembly, World Disarmament Campaign, World War II, resolution"
280723,"General Assembly, World Disarmament Camp assembly, World Disarmament Campaign"
280724,"General Assembly, confidence-building measures, resolution"
280725,"General Assembly, freeze on nuclear weapon, freeze on nuclear weapons, resolution"
280726,"Convention on the Prohibition of the Use, General Assembly, Nuclear Weapon, resolution"
280727,"General Assembly, UN programme of fellowship on disarmament, UN programme of fellowships on disarmament, resolution"
280728,"General Assembly, arms freeze, nuclear arms, nuclear arms freeze, resolution, resolution 40/151C"
280729,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
280730,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
280731,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
280732,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
280733,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
280734,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
280735,"Human Rights of the Population of the Occupied Territories, Israeli Practices, Occupied Territories, Resolution"
280736,"General Assembly, information, resolution"
280737,"General Assembly, information, resolution"
280738,"General Assembly, information, resolution"
280739,"Palestine refugees, UN Relief and Work Agency, resolution"
280740,"Palestine refugees, UN Relief and Work Agency, resolution"
