resolution,legacy_undl_id,Geopolitical,Thematic,Action
A/RES/38/73F,278689,,World Disarmament,Action; Activities; Campaign
A/RES/38/73G,278690,,Nuclear Weapons,Prohibition
A/RES/38/73H,278691,,Disarmament;International Security,
A/RES/38/74,278692,,Treaty on the Non-Proliferation of Nuclear Weapons,Implementation; Establishment
A/RES/38/75,278693,,Nuclear War,Condemnation
A/RES/38/76,278694,,Nuclear-weapon,Freeze
A/RES/38/79A,278695,Israel;Occupied Territories,Human Rights,Investigation
A/RES/38/79B,278696,Israel;Occupied Territories,Human Rights,Investigation
A/RES/38/79C,278697,Israel;Occupied Territories,Human Rights,Investigation
A/RES/38/79D,278698,Israel;Occupied Territories,Human Rights,Investigation
A/RES/38/79E,278699,Israel;Occupied Territories,Human Rights,Investigation
A/RES/38/79F,278700,Israel;Occupied Territories,Human Rights,Investigation
A/RES/38/79G,278701,Israel;Occupied Territories,Human Rights,Investigation
A/RES/38/79H,278702,Israel;Occupied Territories,Human Rights,Investigation
A/RES/38/80,278703,,Outer Space,International Co-operation
A/RES/38/81,278704,,Peace-keeping operations,Review
A/RES/38/82B,278705,,Information,
A/RES/38/83A,278706,Palestine,Refugees,Assistance
A/RES/38/83D,278707,Palestine Refugees,Higher Education;Vocational Training,Offers;Grants;Scholarships
A/RES/38/83E,278708,Palestine; Gaza Strip,Refugees,
A/RES/38/83F,278709,Palestine,Refugees,Resumption; Distribution
A/RES/38/83G,278710,,Population;Refugees;Displacement,
A/RES/38/83H,278711,Palestine,Refugees;Properties;Revenues,
A/RES/38/83I,278712,Palestine,Protection;Refugees,
A/RES/38/83J,278713,Palestine; West Bank,Refugees,
A/RES/38/83K,278714,Palestine,Palestine refugees,
A/RES/38/85,278715,Israel; Mediterranean Sea; Dead Sea,Canal,Decision; Building
A/RES/38/100,278716,Guatemala,Human Rights;Fundamental Freedoms,
A/RES/38/101,278717,El Salvador,Human Rights;Fundamental Freedoms,
A/RES/38/102,278718,Chile,Human Rights;Fundamental Freedoms,
A/RES/38/107,278719,,Prostitution,Prevention
A/RES/38/108,278720,,United Nations Decade for Women,Preparation; Review; Appraisal
A/RES/38/112,278721,,Human rights;Scientific and technological developments,Adoption
A/RES/38/113,278722,,Human rights;Scientific and technological developments,Use
A/RES/38/124,278723,,United Nations system;Human rights;Fundamental freedoms,Improvement
A/RES/38/128,278724,,Principles and norms of international law; International economic order,Progressive development
A/RES/38/132,278725,,Peace and Security of Mankind,Draft Code of Offences
A/RES/38/133,278726,,Principle of Non-Use of Force; International Relations,Enhancement; Effectiveness
A/RES/38/144,278727,Palestinian territories; Arab territories,Permanent sovereignty; National resources,
A/RES/38/145,278728,Palestinian people,Assistance,
A/RES/38/150,278729,Africa,Transport;Communications,Decade
A/RES/38/154,278730,,Reverse Transfer Technology;Development Aspects,
A/RES/38/162,278731,,Remnants of war,
A/RES/38/166,278732,Palestinian people;Palestinian territories,Living conditions,
A/RES/38/174,278733,Land-locked Developing Countries,Special Fund,
A/RES/38/177,278734,,Training;Research,
A/RES/38/180A,278735,Middle East,,
A/RES/38/180B,278736,Middle East,,
A/RES/38/180C,278737,Middle East,,
A/RES/38/180D,278738,Middle East,,
A/RES/38/180E,278739,Middle East,,
A/RES/38/181A,278741,Africa,Denuclearization,Implementation
A/RES/38/181B,278742,South Africa,Nuclear capability,
A/RES/38/182,278743,,Weapons of Mass Destruction,Prohibition; Development; Manufacture
A/RES/38/183A,278744,,Nuclear-arms,Negotiations
A/RES/38/183B,278746,,Nuclear weapons;nuclear war,Non-use;prevention
A/RES/38/183C,278747,,Nuclear neutron weapon,Prohibition
A/RES/38/183D,278748,,Nuclear weapons,
A/RES/38/183F,278749,,Disarmament,International co-operation
A/RES/38/183G,278750,,Nuclear War,Prevention
A/RES/38/183H,278751,,Recommendation;Decision,Implementation
A/RES/38/183I,278752,,Disarmament,Report
A/RES/38/183J,278753,,Nuclear disarmament,Measures
A/RES/38/183L,278754,,Disarmament,Promotion
A/RES/38/183M,278755,,Recommendation; Decision,Implementation
A/RES/38/183N,278757,,Nuclear-arms,Negotiations
A/RES/38/183P,278758,,Nuclear-arms,Negotiations
A/RES/38/184B,278759,,Military Budgets,Reduction
A/RES/38/187A,278760,,Chemical weapons;bacteriological weapons,Prohibition
A/RES/38/187C,278761,,Chemical weapons;bacteriological weapons;biological weapons,
A/RES/38/188A,278762,,Conventional Disarmament,Study
A/RES/38/188C,278763,,Military Capabilities; Objective Information,Providing
A/RES/38/188E,278764,,Fissionable material; Weapons,Prohibition; Production
A/RES/38/188F,278765,,Naval arms race;Naval armaments;Confidence-building measures;Seas;Oceans,Limitation;Reduction;Extension
A/RES/38/188G,278766,,Naval Arms Race,Study
A/RES/38/188H,278767,,Disarmament;Security Issues,Commission
A/RES/38/188I,278768,,Nuclear-weapon-free zones,Review; Supplement
A/RES/38/188J,278769,,Disarmament,Arrangement
A/RES/38/190,278770,,Declaration on the Strengthening of International Security; International Security,Review; Implementation
A/RES/38/191,278771,,Collective Security;Charter of the United Nations;International Peace;International Security,Implementation;Maintenance
A/RES/38/196,278772,,International Economic Relations,Confidence-building
A/RES/38/197,278773,developing countries,economic measures;political coercion;economic coercion,means
A/RES/38/202,278774,,United Nations system; Natural disasters; Disaster situations,Strengthening; Response
A/RES/38/226,278775,,Programme budget,
A/RES/38/228A,278776,,Postage stamps,
A/RES/38/232,278777,,International Civil Service,Report
A/RES/38/233,278779,,United Nations Joint Staff Pension Board,Report
A/RES/38/234,278780,,Programme Budget; Biennium,Proposal
A/RES/38/235,278781,United Nations,Health insurance contributions,
A/RES/38/236A,278782,,Budget appropriations,
A/RES/38/236C,278783,,Financing; Appropriation,
A/RES/38/237,278784,,Expenses,Approval
A/RES/38/238,278785,,Working Capital Fund,
A/RES/38/239,278786,,Pension scheme; International Court of Justice,Adoption
A/RES/39/2,278816,South Africa,,
A/RES/39/5,278835,Kampuchea,,
A/RES/39/6,278836,Falkland Islands;Malvinas,,
A/RES/40/243I,278837,,Pattern of conferences,
A/RES/39/9,278838,United Nations;League of Arab States,Co-operation,
A/RES/39/11,278839,,Right of Peoples; Peace,Declaration
A/RES/39/13,278840,Afghanistan,International Peace;Security,
A/RES/39/14,278841,Israel;Iraq,Nuclear installations;Nuclear energy;Non-proliferation of nuclear weapons;International peace and security,Aggression
A/RES/39/15,278842,South Africa,Human Rights;Racist and Colonialist Régime,Assistance
A/RES/39/17,278843,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
A/RES/39/19,278844,,International Convention; Suppression; Punishment; Crime of Apartheid,
A/RES/40/85,278847,non-nuclear-weapon States,security;nuclear weapons,strengthening
A/RES/39/21,278848,,Racial Discrimination,Elimination
A/RES/40/62,278851,Comorian island of Mayotte,,
A/RES/39/40,278852,Western Sahara,,
A/RES/39/41,278853,Non-self-governing territories,Information,Transmission
A/RES/39/42,278854,Namibia;southern Africa,Declaration on the Granting of Independence to Colonial Countries and Peoples;colonial domination;colonialism;apartheid;racial discrimination,activities;implementation;efforts;elimination
A/RES/39/43,278855,Colonial Countries;Colonial Peoples,Declaration;Independence,Implementation
A/RES/39/48,278856,Comorian island of Mayotte,,
A/RES/39/49A,278857,Palestine,,
A/RES/39/49B,278858,Palestine,,
A/RES/39/49C,278859,Palestine,,Resolution
A/RES/40/5,278860,United Nations;League of Arab States,Co-operation,
A/RES/39/49D,278862,Palestine,,
A/RES/39/50A,278863,Namibia; South Africa,Illegal occupation,
A/RES/39/50B,278864,Namibia,Security Council resolution,Implementation
A/RES/39/50C,278865,Namibia,Programme of work,
A/RES/39/50D,278866,Namibia,Dissemination of information; Mobilization of international public opinion,Support
A/RES/39/50E,278867,Namibia,Fund,
A/RES/39/51,278868,Latin America,Treaty for the Prohibition of Nuclear Weapons; Additional Protocol I; Treaty of Tlatelolco,Implementation; Signature; Ratification
A/RES/39/52,278869,,Nuclear Weapons;Test Explosions,Cessation
A/RES/39/53,278870,,Nuclear-test-ban treaty,Need
A/RES/39/55,278871,South Asia,Nuclear-weapon-free zone,Establishment
A/RES/39/57,278872,non-nuclear-weapon States,security;nuclear weapons,strengthening
A/RES/39/58,278873,non-nuclear-weapon States,nuclear weapons,assurance
A/RES/39/59,278874,,Arms Race; Outer Space,Prevention
A/RES/39/60,278875,,Nuclear-weapon tests,Implementation; Cessation; Prohibition
A/RES/39/61A,278876,Africa,Denuclearization,Implementation
A/RES/39/61B,278877,Africa; South Africa,Denuclearization; Nuclear Capability,Implementation
A/RES/39/62,278878,,Weapons of Mass Destruction,Prohibition; Development; Manufacture
A/RES/39/63A,278879,,World Disarmament,Action; Activity
A/RES/39/63C,278880,,Nuclear-arms,Freeze
A/RES/39/63D,278881,,World Disarmament,Campaign
A/RES/39/63G,278882,,Nuclear Weapons,Freeze
A/RES/39/63H,278883,,Nuclear Weapons,Prohibition
A/RES/39/63K,278884,,Disarmament;International Security,
A/RES/39/64B,278885,,Military Budgets,Reduction
A/RES/39/65A,278886,,Chemical weapons;bacteriological weapons;biological weapons,
A/RES/39/65B,278887,,Chemical weapons;bacteriological weapons,Prohibition
A/RES/39/65E,278888,,Chemical weapons;bacteriological weapons;biological weapons,
A/RES/39/70,278889,troop-contributing States,rates of reimbursement,review
A/RES/39/71,278891,Lebanon,United Nations Interim Force,Financing
A/RES/39/72A,278892,South Africa,Apartheid,Sanctions;Support;Liberation Struggle
A/RES/39/72B,278893,,Apartheid,Programme of work
A/RES/39/72C,278894,Israel;South Africa,Relations,
A/RES/39/72D,278895,,Apartheid; Sports,Resolution
A/RES/39/72E,278896,,Apartheid;Public information,Public action
A/RES/39/72G,278897,,Apartheid,International Action; Elimination
A/RES/39/73,278898,,Law of the Sea,
A/RES/39/75,278899,,Principles and norms of international law; International economic order,Progressive development
A/RES/39/76,278900,Organization of African Unity;League of Arab States,National Liberation Movements,Observer Status
A/RES/39/80,278901,,Peace and Security of Mankind,Draft Code
A/RES/39/81,278902,,Principle of Non-Use of Force; International Relations,Enhancement; Effectiveness
A/RES/39/90,278903,,Multilateral Treaty-Making Process,Review
A/RES/39/91,278904,Colonial Countries;Peoples,Declaration;Independence,Implementation;Granting
A/RES/39/92,278905,,Decolonization,Dissemination of information
A/RES/39/93,278906,Colonial Countries;Peoples,Declaration;Independence,Programme of Activities;Observance;Granting
A/RES/39/95A,278907,Israel;Occupied Territories,Human Rights,Investigation
A/RES/39/95B,278908,Israel;Occupied Territories,Human Rights,Investigation
A/RES/39/95C,278909,Israel;Occupied Territories,Human Rights,Investigation
A/RES/39/95D,278910,Israel;Occupied Territories,Human Rights,Investigation
A/RES/39/95E,278911,Israel; Occupied Territories,Human Rights,Investigation
A/RES/39/95F,278912,Israel; Occupied Territories,Human Rights,Investigation
A/RES/39/95G,278913,Israel;Occupied Territories,Human Rights,Investigation
A/RES/39/95H,278915,Israel;Occupied Territories,Human Rights,Investigation
A/RES/39/98A,278916,,Information,
A/RES/39/98B,278917,,Information,
A/RES/39/99A,278918,Palestine; Near East,Relief; Works Agency; Assistance; Refugees,Assistance
A/RES/39/99D,278919,Palestine; Near East,Relief; Works; Refugees; Higher Education; Vocational Training; Grants; Scholarships,Offers
A/RES/39/99E,278920,Palestine; Gaza Strip,Relief; Refugees,
A/RES/39/99F,278921,Palestine;Near East,Relief;Works;Ration Distribution;Refugees,Resumption
A/RES/39/99G,278922,Palestine; Near East,Relief; Works; Population; Refugees; Displacement,Adoption
A/RES/39/99H,278923,Palestine; Near East,Relief and Works; Refugees; Refugee Properties; Revenues,
A/RES/39/99I,278924,Palestine; Near East,Relief; Protection; Refugees,Adoption
A/RES/39/99J,278925,Palestine; West Bank; Near East,Relief; Works; Refugees,
A/RES/39/99K,278926,Palestine; Near East; Jerusalem,Relief; Works; Refugees,Adoption
A/RES/39/101,278927,Israel; Mediterranean Sea; Dead Sea,Canal,Decision; Building
A/RES/39/119,278928,El Salvador,Human Rights;Fundamental Freedoms,
A/RES/39/120,278929,Guatemala,Human Rights;Fundamental Freedoms,
A/RES/39/121,278930,Chile,Human Rights;Fundamental Freedoms,
A/RES/39/127,278931,regional commissions,senior women's programme officers posts,
A/RES/39/130,278932,,Discrimination against Women,Elimination
A/RES/39/133,278933,,Human rights;Scientific and technological developments,Adoption
A/RES/39/134,278934,,Human rights;Scientific and technological developments,Use
A/RES/39/137,278935,,International Covenant on Civil and Political Rights; Death Penalty,Elaboration; Abolition
A/RES/39/145,278937,,United Nations System;Human Rights;Fundamental Freedoms,Improvement
A/RES/39/146,278939,Middle East,,
A/RES/39/146B,278941,Middle East,,
A/RES/39/146C,278942,Middle East,,
A/RES/39/147,278943,Israel,Nuclear Armament,
A/RES/39/148[A],278944,,Nuclear disarmament,Measures
A/RES/39/148[B],278945,,Nuclear-arms,Negotiations
A/RES/39/148[C],278946,,Nuclear weapons,
A/RES/39/148[D],278947,,Nuclear weapons;nuclear war,Non-use;Prevention
A/RES/39/148[E],278948,,Nuclear neutron weapon,Prohibition
A/RES/39/148[F],278949,,Nuclear War; Nuclear Winter; Climatic Effects,
A/RES/39/148[G],278950,,Nuclear-arms,Negotiations
A/RES/39/148[H],278951,,Disarmament Research,
A/RES/39/148[J],278952,,Disarmament,Promotion
A/RES/39/148[K],278953,,Nuclear-arms race;nuclear disarmament,Cessation
A/RES/39/148L,278954,,Recommendation; Decision; Special Session,Implementation
A/RES/39/148[M],278955,,Disarmament,International co-operation
A/RES/39/148[N],278956,,Disarmament,Report
A/RES/39/148[O],278957,,Recommendation; Decision,Implementation
A/RES/39/148[P],278958,,Nuclear War,Prevention
A/RES/39/151[A],278959,,Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques,Review Conference
A/RES/39/151[B],278960,,Nuclear-weapon-free zones,Study
A/RES/39/151[D],278961,,Nuclear-weapon,Freeze
A/RES/39/151[E],278962,,Arms Limitation;Disarmament,Contribution
A/RES/39/151[F],278963,,Military research; Military development,
A/RES/39/151[H],278964,,Fissionable material; Weapons,Prohibition; Production
A/RES/39/151[I],278965,,Naval Arms Race,Curbing
A/RES/39/155,278966,,International Security,Implementation
A/RES/39/157,278967,,Declaration on the Preparation of Societies for Life in Peace,Implementation
A/RES/39/158,278968,,Collective Security;Charter of the United Nations;International Peace;International Security,Implementation;Maintenance
A/RES/39/159,278969,State; States; sovereign States,policy of State terrorism; socio-political system,inadmissibility; actions; undermining
A/RES/39/161B,278970,,UN anniversary,Observance
A/RES/39/163,278971,States,Economic Rights;Duties,Charter
A/RES/39/167,278972,,Remnants of war,
A/RES/39/169,278973,Palestinian territories;Palestinian people,Living conditions,
A/RES/39/177,278974,,United Nations Institute for Training and Research,Financing; Role
A/RES/39/210,278975,Developing countries,Economic measures;Political coercion;Economic coercion,Means
A/RES/39/211,278976,,Technology Transfer,Development
A/RES/39/218,278977,,Development;International Economic Cooperation,
A/RES/39/221,278978,Land-locked Developing Countries,Special Fund,
A/RES/39/223,278979,Palestinian territories,Economic development projects,
A/RES/39/224,278980,Palestinian people,Assistance,
A/RES/39/226,278981,,International Economic Relations,Confidence-building
A/RES/39/229,278982,,Health;Environment;Product Safety,Protection
A/RES/39/230,278983,Africa,Transport;Communications,Decade
A/RES/39/232,278984,,Industrial Development,Cooperation
A/RES/39/233,278985,Africa,Industrial Development,Decade
A/RES/39/236[SectionII],278986,,Programme Budget,Adoption
A/RES/39/236[SectionIII],278987,,Programme Budget,Adoption
A/RES/39/236[SectionXI],278988,,Programme Budget; Biennium,Adoption
A/RES/39/236[SectionXIV],278990,,Programme Budget,Adoption
A/RES/39/237A,278991,,Budget Appropriations; Biennium,Revision
A/RES/39/237B,278992,,Income estimates; Biennium 1984-1985,Revision
A/RES/39/237C,278993,,Financing; Appropriation,
A/RES/39/240,278994,United Nations,Inflation;Monetary Instability;Regular Budget,
A/RES/39/243,278995,Western Asia,Staff;Administrative questions;Economic Commission,
A/RES/40/6,279735,Israel;Iraq,Nuclear installations;Nuclear energy;Non-proliferation of nuclear weapons;International peace and security,Aggression
A/RES/40/7,279736,Kampuchea,,
A/RES/40/11,279737,,Right of peoples to peace,
A/RES/40/12,279738,Afghanistan,International Peace;Security,
A/RES/40/18,279739,,Nuclear-arms,Negotiations
A/RES/40/19,279740,countries of origin,cultural property,return; restitution
A/RES/40/21,279741,Falkland Islands (Malvinas),,
A/RES/40/23,279742,,Social change;Economic change;Social progress,Achievement
A/RES/40/25,279743,Colonial countries;Peoples,Right of peoples to self-determination;Independence;Human rights,Realization;Granting;Guarantee;Observance
A/RES/40/27,279744,,International Convention on the Suppression and Punishment of the Crime of Apartheid,Suppression; Punishment
A/RES/40/28,279745,,Elimination of Racial Discrimination,Report
A/RES/40/50,279746,Western Sahara,,
A/RES/40/51,279747,Non-Self-Governing Territories,Information,Transmission
A/RES/40/52,279748,Namibia;Southern Africa,Foreign economic interests;Declaration on the Granting of Independence to Colonial Countries and Peoples;Colonial domination;Colonialism;Apartheid;Racial discrimination,Implementation;Efforts;Elimination
A/RES/40/53,279749,Colonial Countries;Peoples,Declaration;Independence,Implementation
A/RES/40/56,279750,Colonial Countries;Peoples,Declaration;Independence,Granting
A/RES/40/57,279751,Colonial Countries; Peoples,Declaration; Independence,Implementation; Granting
A/RES/40/58,279752,,Decolonization,Dissemination of information
A/RES/40/59A,279753,,UN Disengagement Observer Force,Financing
A/RES/40/59B,279754,,UN Disengagement Observer Force,Financing
A/RES/40/63,279786,,Law of the Sea,
A/RES/40/64A,279787,South Africa,Racist regime,Sanctions
A/RES/40/64B,279788,South Africa,Liberation Movements,Assistance
A/RES/40/64C,279789,South Africa,Sanctions;Racism,Conference
A/RES/40/64D,279790,,Apartheid;Public information,Public action
A/RES/40/64E,279791,Israel;South Africa,Relations,
A/RES/40/64F,279792,,Apartheid,Programme of work
A/RES/40/64G,279793,,Apartheid in Sports,Convention
A/RES/40/64I,279794,,Apartheid,International Action; Elimination
A/RES/40/67,279795,,Principles and norms of international law; International economic order,Progressive development
A/RES/40/69,279796,,Peace and Security of Mankind,Draft Code of Offences
A/RES/40/70,279797,,Principle of Non-Use of Force; International Relations,Enhancement
A/RES/40/79,279798,Latin America,Treaty for the Prohibition of Nuclear Weapons; Additional Protocol I,Signature; Ratification; Implementation
A/RES/40/80A,279799,,Nuclear Weapons,Cessation
A/RES/40/80B,279800,,Nuclear Weapons,Cessation
A/RES/40/81,279801,,Nuclear-test-ban treaty,Need
A/RES/40/83,279802,South Asia,Nuclear-weapon-free zone,Establishment
A/RES/40/86,279803,Non-nuclear-weapon States,Nuclear weapons,Conclusion; Assurance
A/RES/40/87,279804,,Arms Race; Outer Space,Prevention
A/RES/40/88,279805,,Nuclear-weapon tests,Implementation; Cessation; Prohibition
A/RES/40/89A,279807,Africa,Denuclearization,Implementation
A/RES/40/89B,279808,Africa; South Africa,Denuclearization; Nuclear capability,Implementation
A/RES/40/90,279809,,Weapons of Mass Destruction,Prohibition; Development; Manufacture
A/RES/40/91B,279810,,Military Budgets,Reduction
A/RES/40/92A,279811,,Chemical Weapons;Bacteriological Weapons,Prohibition
A/RES/40/92C,279812,,Chemical Weapons;Bacteriological Weapons;Biological Weapons,
A/RES/40/93,279813,Israel,Nuclear Armament,
A/RES/40/94A,279814,,Conventional disarmament; Regional scale,
A/RES/40/94F,279815,,Disarmament;Naval Arms Race,Study
A/RES/40/94G,279816,,Disarmament;Fissionable Material;Weapons,Prohibition
A/RES/40/94H,279817,,General disarmament;nuclear-weapon freeze,Freeze
A/RES/40/94I,279818,,Disarmament;Naval Arms Race;Naval Armaments;Confidence-Building Measures;Seas;Oceans,Limitation;Reduction;Extension
A/RES/40/94K,279819,,Disarmament; Military Matters,Objective Information
A/RES/40/94L,279820,,Disarmament; Arms Limitation; Disarmament Agreements,Compliance
A/RES/40/94M,279821,,Disarmament;Non-Proliferation of Nuclear Weapons,Review Conference
A/RES/40/94N,279822,,Disarmament;International Peace;International Security,Maintenance
A/RES/40/96A,279823,Palestine,,
A/RES/40/96B,279824,Palestine,,
A/RES/40/96C,279825,Palestine,,
A/RES/40/96D,279826,Palestine,,Resolution
A/RES/40/97A,279827,Namibia;South Africa,Illegal occupation,
A/RES/40/97B,279828,Namibia,Security Council resolution 435,Implementation
A/RES/40/97C,279829,Namibia,Programme of Work,
A/RES/40/97D,279830,Namibia,Dissemination of Information; Mobilization of International Public Opinion,Support
A/RES/40/97E,279831,Namibia,UN Fund for Namibia,
A/RES/40/97F,279832,Namibia,,Special session
A/RES/40/100,279833,,World social situation,
A/RES/40/111,279834,,Human rights;Scientific and technological developments,Use
A/RES/40/112,279835,,Human rights;Scientific and technological developments,
A/RES/40/114,279836,,Economic rights;Social rights;Cultural rights;Civil rights;Political rights,Indivisibility;Interdependence
A/RES/40/124,279837,,United Nations System;Human Rights;Fundamental Freedoms,Improvement
A/RES/40/137,279838,Afghanistan,Human Rights;Fundamental Freedoms,
A/RES/40/139,279839,El Salvador,Human Rights;Fundamental Freedoms,
A/RES/40/140,279840,Guatemala,Human Rights;Fundamental Freedoms,
A/RES/40/141,279841,Islamic Republic of Iran,Human Rights,
A/RES/40/145,279842,Chile,Human Rights;Fundamental Freedoms,
A/RES/40/148,279843,,Nazi activities;Fascist activities;neo-Fascist activities;Totalitarian ideologies;Racial intolerance;Hatred;Terror,Measures
A/RES/40/158,279844,,Declaration on the Strengthening of International Security; International Security,Review; Implementation
A/RES/40/159,279845,,Collective Security;Charter of the United Nations;International Peace;International Security,Implementation;Maintenance
A/RES/40/156C,279846,Antarctica,,
A/RES/40/152N,279847,,Recommendations; Decisions; Special Session,Implementation
A/RES/40/152Q,279848,,Nuclear War,Prevention
A/RES/40/156A,279849,Antarctica,,
A/RES/40/152P,279850,,Nuclear-arms race;nuclear disarmament,Cessation
A/RES/40/156B,279851,Antarctica,,
A/RES/40/150,279852,,Economic consequences;Social consequences;Armaments race;World peace;Security,
A/RES/40/151A,279853,,Disarmament;International Security,
A/RES/40/151C,279854,,Nuclear-arms,Freeze
A/RES/40/151B,279855,,World Disarmament,Campaign
A/RES/40/152C,279856,,Nuclear weapons,
A/RES/40/152A,279857,,Nuclear weapons;nuclear war,Non-use;Prevention
A/RES/40/152B,279858,,Nuclear-arms; Space-arms,Negotiations
A/RES/40/151F,279859,,Nuclear Weapons,Prohibition
A/RES/40/151H,279860,,Disarmament,Programme; Fellowship
A/RES/40/151D,279861,,World Disarmament,Action; Activity
A/RES/40/151E,279862,,Nuclear Weapons,Freeze
A/RES/40/152I,279863,,Disarmament,International co-operation
A/RES/40/152H,279864,,Nuclear Neutron Weapon,Prohibition
A/RES/40/152E,279865,,Disarmament,Adoption
A/RES/40/152G,279866,,Climatic effects;nuclear war;nuclear winter,
A/RES/40/152M,279867,,Disarmament,Report
A/RES/40/152J,279868,,Recommendation;Decision,Implementation
A/RES/40/161A,279869,Israel; Occupied Territories,Human Rights,Investigation
A/RES/40/161B,279870,Israel; Occupied Territories,Human Rights,Investigation
A/RES/40/161C,279871,Israel; Occupied Territories,Human Rights,Investigation
A/RES/40/161D,279873,Israel;Occupied Territories,Human Rights,Investigation
A/RES/40/161E,279874,Israel; Occupied Territories,Human Rights,Investigation
A/RES/40/161F,279875,Israel; Occupied Territories,Human Rights,Investigation
A/RES/40/161G,279876,Israel; Occupied Territories,Human Rights,Investigation
A/RES/40/164A,279877,,Information,
A/RES/40/164B,279878,,Information,
A/RES/40/165A,279879,Palestine,Assistance; Palestine refugees,
A/RES/40/165D,279880,Palestine,Higher Education;Vocational Training;Refugees,Offers;Grants;Scholarships
A/RES/40/165E,279881,Palestine; Gaza Strip,Palestine refugees,
A/RES/40/165F,279882,Palestine,Refugees;Ration Distribution,Resumption
A/RES/40/165G,279883,,Population;Refugees;Displacement,
A/RES/40/165H,279884,Palestine,Palestine refugees properties,Revenues
A/RES/40/165I,279885,Palestine,Protection; Palestine refugees,
A/RES/40/165J,279886,Palestine; West Bank,Refugees,
A/RES/40/165K,279887,Jerusalem; Palestine,Palestine refugees,
A/RES/40/167,279888,Israel; Mediterranean Sea; Dead Sea,Canal,Decision; Building
A/RES/40/168A,279889,Middle East,,
A/RES/40/168B,279890,Middle East,,
A/RES/40/168C,279891,Middle East,,
A/RES/40/169,279892,Palestinian territories,Economic development projects,
A/RES/40/170,279893,Palestinian people,Assistance,
A/RES/40/173,279894,,International economic security,
A/RES/40/182,279895,States,Economic Rights;Duties,Charter
