Original_ID,Geopolitical,Thematic,Action
278741,Africa,Denuclearization,Implementation
278742,South Africa,Nuclear capability,
278743,,Weapons of Mass Destruction,Prohibition; Development; Manufacture
278744,,Nuclear-arms,Negotiations
278746,,Nuclear weapons;nuclear war,Non-use;prevention
278747,,Nuclear neutron weapon,Prohibition
278748,,Nuclear weapons,
278749,,Disarmament,International co-operation
278750,,Nuclear War,Prevention
278751,,Recommendation;Decision,Implementation
278752,,Disarmament,Report
278753,,Nuclear disarmament,Measures
278754,,Disarmament,Promotion
278755,,Recommendation; Decision,Implementation
278757,,Nuclear-arms,Negotiations
278758,,Nuclear-arms,Negotiations
278759,,Military Budgets,Reduction
278760,,Chemical weapons;bacteriological weapons,Prohibition
278761,,Chemical weapons;bacteriological weapons;biological weapons,
278762,,Conventional Disarmament,Study
278763,,Military Capabilities; Objective Information,Providing
278764,,Fissionable material; Weapons,Prohibition; Production
278765,,Naval arms race;Naval armaments;Confidence-building measures;Seas;Oceans,Limitation;Reduction;Extension
278766,,Naval Arms Race,Study
278767,,Disarmament;Security Issues,Commission
278768,,Nuclear-weapon-free zones,Review; Supplement
278769,,Disarmament,Arrangement
278770,,Declaration on the Strengthening of International Security; International Security,Review; Implementation
278771,,Collective Security;Charter of the United Nations;International Peace;International Security,Implementation;Maintenance
278772,,International Economic Relations,Confidence-building
278773,developing countries,economic measures;political coercion;economic coercion,means
278774,,United Nations system; Natural disasters; Disaster situations,Strengthening; Response
278775,,Programme budget,
278776,,Postage stamps,
278777,,International Civil Service,Report
278779,,United Nations Joint Staff Pension Board,Report
278780,,Programme Budget; Biennium,Proposal
278781,United Nations,Health insurance contributions,
278782,,Budget appropriations,
278783,,Financing; Appropriation,
278784,,Expenses,Approval
278785,,Working Capital Fund,
278786,,Pension scheme; International Court of Justice,Adoption
278816,South Africa,,
278835,Kampuchea,,
278836,Falkland Islands;Malvinas,,
278837,,Pattern of conferences,
278838,United Nations;League of Arab States,Co-operation,
278839,,Right of Peoples; Peace,Declaration
278840,Afghanistan,International Peace;Security,
278841,Israel;Iraq,Nuclear installations;Nuclear energy;Non-proliferation of nuclear weapons;International peace and security,Aggression
278842,South Africa,Human Rights;Racist and Colonialist Régime,Assistance
278843,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
278844,,International Convention; Suppression; Punishment; Crime of Apartheid,
278847,non-nuclear-weapon States,security;nuclear weapons,strengthening
278848,,Racial Discrimination,Elimination
278851,Comorian island of Mayotte,,
278852,Western Sahara,,
278853,Non-self-governing territories,Information,Transmission
278854,Namibia;southern Africa,Declaration on the Granting of Independence to Colonial Countries and Peoples;colonial domination;colonialism;apartheid;racial discrimination,activities;implementation;efforts;elimination
278855,Colonial Countries;Colonial Peoples,Declaration;Independence,Implementation
278856,Comorian island of Mayotte,,
278857,Palestine,,
278858,Palestine,,
278859,Palestine,,Resolution
278860,United Nations;League of Arab States,Co-operation,
278862,Palestine,,
278863,Namibia; South Africa,Illegal occupation,
278864,Namibia,Security Council resolution,Implementation
278865,Namibia,Programme of work,
278866,Namibia,Dissemination of information; Mobilization of international public opinion,Support
278867,Namibia,Fund,
278868,Latin America,Treaty for the Prohibition of Nuclear Weapons; Additional Protocol I; Treaty of Tlatelolco,Implementation; Signature; Ratification
278869,,Nuclear Weapons;Test Explosions,Cessation
278870,,Nuclear-test-ban treaty,Need
278871,South Asia,Nuclear-weapon-free zone,Establishment
278872,non-nuclear-weapon States,security;nuclear weapons,strengthening
278873,non-nuclear-weapon States,nuclear weapons,assurance
278874,,Arms Race; Outer Space,Prevention
278875,,Nuclear-weapon tests,Implementation; Cessation; Prohibition
278876,Africa,Denuclearization,Implementation
278877,Africa; South Africa,Denuclearization; Nuclear Capability,Implementation
278878,,Weapons of Mass Destruction,Prohibition; Development; Manufacture
278879,,World Disarmament,Action; Activity
278880,,Nuclear-arms,Freeze
278881,,World Disarmament,Campaign
278882,,Nuclear Weapons,Freeze
278883,,Nuclear Weapons,Prohibition
278884,,Disarmament;International Security,
278885,,Military Budgets,Reduction
278886,,Chemical weapons;bacteriological weapons;biological weapons,
278887,,Chemical weapons;bacteriological weapons,Prohibition
278888,,Chemical weapons;bacteriological weapons;biological weapons,
278889,troop-contributing States,rates of reimbursement,review
278891,Lebanon,United Nations Interim Force,Financing
278892,South Africa,Apartheid,Sanctions;Support;Liberation Struggle
278893,,Apartheid,Programme of work
278894,Israel;South Africa,Relations,
278895,,Apartheid; Sports,Resolution
278896,,Apartheid;Public information,Public action
278897,,Apartheid,International Action; Elimination
278898,,Law of the Sea,
278899,,Principles and norms of international law; International economic order,Progressive development
278900,Organization of African Unity;League of Arab States,National Liberation Movements,Observer Status
278901,,Peace and Security of Mankind,Draft Code
278902,,Principle of Non-Use of Force; International Relations,Enhancement; Effectiveness
278903,,Multilateral Treaty-Making Process,Review
278904,Colonial Countries;Peoples,Declaration;Independence,Implementation;Granting
278905,,Decolonization,Dissemination of information
278906,Colonial Countries;Peoples,Declaration;Independence,Programme of Activities;Observance;Granting
278907,Israel;Occupied Territories,Human Rights,Investigation
278908,Israel;Occupied Territories,Human Rights,Investigation
278909,Israel;Occupied Territories,Human Rights,Investigation
278910,Israel;Occupied Territories,Human Rights,Investigation
278911,Israel; Occupied Territories,Human Rights,Investigation
278912,Israel; Occupied Territories,Human Rights,Investigation
278913,Israel;Occupied Territories,Human Rights,Investigation
278915,Israel;Occupied Territories,Human Rights,Investigation
278916,,Information,
278917,,Information,
278918,Palestine; Near East,Relief; Works Agency; Assistance; Refugees,Assistance
278919,Palestine; Near East,Relief; Works; Refugees; Higher Education; Vocational Training; Grants; Scholarships,Offers
278920,Palestine; Gaza Strip,Relief; Refugees,
278921,Palestine;Near East,Relief;Works;Ration Distribution;Refugees,Resumption
278922,Palestine; Near East,Relief; Works; Population; Refugees; Displacement,Adoption
278923,Palestine; Near East,Relief and Works; Refugees; Refugee Properties; Revenues,
278924,Palestine; Near East,Relief; Protection; Refugees,Adoption
278925,Palestine; West Bank; Near East,Relief; Works; Refugees,
278926,Palestine; Near East; Jerusalem,Relief; Works; Refugees,Adoption
278927,Israel; Mediterranean Sea; Dead Sea,Canal,Decision; Building
278928,El Salvador,Human Rights;Fundamental Freedoms,
278929,Guatemala,Human Rights;Fundamental Freedoms,
278930,Chile,Human Rights;Fundamental Freedoms,
278931,regional commissions,senior women's programme officers posts,
278932,,Discrimination against Women,Elimination
278933,,Human rights;Scientific and technological developments,Adoption
278934,,Human rights;Scientific and technological developments,Use
278935,,International Covenant on Civil and Political Rights; Death Penalty,Elaboration; Abolition
278937,,United Nations System;Human Rights;Fundamental Freedoms,Improvement
278939,Middle East,,
278941,Middle East,,
278942,Middle East,,
278943,Israel,Nuclear Armament,
278944,,Nuclear disarmament,Measures
278945,,Nuclear-arms,Negotiations
278946,,Nuclear weapons,
278947,,Nuclear weapons;nuclear war,Non-use;Prevention
278948,,Nuclear neutron weapon,Prohibition
278949,,Nuclear War; Nuclear Winter; Climatic Effects,
278950,,Nuclear-arms,Negotiations
278951,,Disarmament Research,
278952,,Disarmament,Promotion
278953,,Nuclear-arms race;nuclear disarmament,Cessation
278954,,Recommendation; Decision; Special Session,Implementation
278955,,Disarmament,International co-operation
278956,,Disarmament,Report
278957,,Recommendation; Decision,Implementation
278958,,Nuclear War,Prevention
278959,,Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques,Review Conference
278960,,Nuclear-weapon-free zones,Study
278961,,Nuclear-weapon,Freeze
278962,,Arms Limitation;Disarmament,Contribution
278963,,Military research; Military development,
278964,,Fissionable material; Weapons,Prohibition; Production
278965,,Naval Arms Race,Curbing
278966,,International Security,Implementation
278967,,Declaration on the Preparation of Societies for Life in Peace,Implementation
278968,,Collective Security;Charter of the United Nations;International Peace;International Security,Implementation;Maintenance
278969,State; States; sovereign States,policy of State terrorism; socio-political system,inadmissibility; actions; undermining
278970,,UN anniversary,Observance
278971,States,Economic Rights;Duties,Charter
278972,,Remnants of war,
278973,Palestinian territories;Palestinian people,Living conditions,
278974,,United Nations Institute for Training and Research,Financing; Role
278975,Developing countries,Economic measures;Political coercion;Economic coercion,Means
278976,,Technology Transfer,Development
278977,,Development;International Economic Cooperation,
278978,Land-locked Developing Countries,Special Fund,
278979,Palestinian territories,Economic development projects,
278980,Palestinian people,Assistance,
278981,,International Economic Relations,Confidence-building
278982,,Health;Environment;Product Safety,Protection
278983,Africa,Transport;Communications,Decade
278984,,Industrial Development,Cooperation
278985,Africa,Industrial Development,Decade
278986,,Programme Budget,Adoption
278987,,Programme Budget,Adoption
278988,,Programme Budget; Biennium,Adoption
278990,,Programme Budget,Adoption
278991,,Budget Appropriations; Biennium,Revision
278992,,Income estimates; Biennium 1984-1985,Revision
278993,,Financing; Appropriation,
278994,United Nations,Inflation;Monetary Instability;Regular Budget,
278995,Western Asia,Staff;Administrative questions;Economic Commission,
279735,Israel;Iraq,Nuclear installations;Nuclear energy;Non-proliferation of nuclear weapons;International peace and security,Aggression
279736,Kampuchea,,
279737,,Right of peoples to peace,
279738,Afghanistan,International Peace;Security,
279739,,Nuclear-arms,Negotiations
279740,countries of origin,cultural property,return; restitution
279741,Falkland Islands (Malvinas),,
279742,,Social change;Economic change;Social progress,Achievement
279743,Colonial countries;Peoples,Right of peoples to self-determination;Independence;Human rights,Realization;Granting;Guarantee;Observance
279744,,International Convention on the Suppression and Punishment of the Crime of Apartheid,Suppression; Punishment
279745,,Elimination of Racial Discrimination,Report
279746,Western Sahara,,
279747,Non-Self-Governing Territories,Information,Transmission
279748,Namibia;Southern Africa,Foreign economic interests;Declaration on the Granting of Independence to Colonial Countries and Peoples;Colonial domination;Colonialism;Apartheid;Racial discrimination,Implementation;Efforts;Elimination
279749,Colonial Countries;Peoples,Declaration;Independence,Implementation
279750,Colonial Countries;Peoples,Declaration;Independence,Granting
279751,Colonial Countries; Peoples,Declaration; Independence,Implementation; Granting
279752,,Decolonization,Dissemination of information
279753,,UN Disengagement Observer Force,Financing
279754,,UN Disengagement Observer Force,Financing
279786,,Law of the Sea,
279787,South Africa,Racist regime,Sanctions
279788,South Africa,Liberation Movements,Assistance
279789,South Africa,Sanctions;Racism,Conference
279790,,Apartheid;Public information,Public action
279791,Israel;South Africa,Relations,
279792,,Apartheid,Programme of work
279793,,Apartheid in Sports,Convention
279794,,Apartheid,International Action; Elimination
279795,,Principles and norms of international law; International economic order,Progressive development
279796,,Peace and Security of Mankind,Draft Code of Offences
279797,,Principle of Non-Use of Force; International Relations,Enhancement
279798,Latin America,Treaty for the Prohibition of Nuclear Weapons; Additional Protocol I,Signature; Ratification; Implementation
279799,,Nuclear Weapons,Cessation
279800,,Nuclear Weapons,Cessation
279801,,Nuclear-test-ban treaty,Need
279802,South Asia,Nuclear-weapon-free zone,Establishment
279803,Non-nuclear-weapon States,Nuclear weapons,Conclusion; Assurance
279804,,Arms Race; Outer Space,Prevention
279805,,Nuclear-weapon tests,Implementation; Cessation; Prohibition
279807,Africa,Denuclearization,Implementation
279808,Africa; South Africa,Denuclearization; Nuclear capability,Implementation
279809,,Weapons of Mass Destruction,Prohibition; Development; Manufacture
279810,,Military Budgets,Reduction
279811,,Chemical Weapons;Bacteriological Weapons,Prohibition
279812,,Chemical Weapons;Bacteriological Weapons;Biological Weapons,
279813,Israel,Nuclear Armament,
279814,,Conventional disarmament; Regional scale,
279815,,Disarmament;Naval Arms Race,Study
279816,,Disarmament;Fissionable Material;Weapons,Prohibition
279817,,General disarmament;nuclear-weapon freeze,Freeze
279818,,Disarmament;Naval Arms Race;Naval Armaments;Confidence-Building Measures;Seas;Oceans,Limitation;Reduction;Extension
279819,,Disarmament; Military Matters,Objective Information
279820,,Disarmament; Arms Limitation; Disarmament Agreements,Compliance
279821,,Disarmament;Non-Proliferation of Nuclear Weapons,Review Conference
279822,,Disarmament;International Peace;International Security,Maintenance
279823,Palestine,,
279824,Palestine,,
279825,Palestine,,
279826,Palestine,,Resolution
279827,Namibia;South Africa,Illegal occupation,
279828,Namibia,Security Council resolution 435,Implementation
279829,Namibia,Programme of Work,
279830,Namibia,Dissemination of Information; Mobilization of International Public Opinion,Support
279831,Namibia,UN Fund for Namibia,
279832,Namibia,,Special session
279833,,World social situation,
279834,,Human rights;Scientific and technological developments,Use
279835,,Human rights;Scientific and technological developments,
279836,,Economic rights;Social rights;Cultural rights;Civil rights;Political rights,Indivisibility;Interdependence
279837,,United Nations System;Human Rights;Fundamental Freedoms,Improvement
279838,Afghanistan,Human Rights;Fundamental Freedoms,
279839,El Salvador,Human Rights;Fundamental Freedoms,
279840,Guatemala,Human Rights;Fundamental Freedoms,
279841,Islamic Republic of Iran,Human Rights,
279842,Chile,Human Rights;Fundamental Freedoms,
279843,,Nazi activities;Fascist activities;neo-Fascist activities;Totalitarian ideologies;Racial intolerance;Hatred;Terror,Measures
279844,,Declaration on the Strengthening of International Security; International Security,Review; Implementation
279845,,Collective Security;Charter of the United Nations;International Peace;International Security,Implementation;Maintenance
279846,Antarctica,,
279847,,Recommendations; Decisions; Special Session,Implementation
279848,,Nuclear War,Prevention
279849,Antarctica,,
279850,,Nuclear-arms race;nuclear disarmament,Cessation
279851,Antarctica,,
279852,,Economic consequences;Social consequences;Armaments race;World peace;Security,
279853,,Disarmament;International Security,
279854,,Nuclear-arms,Freeze
279855,,World Disarmament,Campaign
279856,,Nuclear weapons,
279857,,Nuclear weapons;nuclear war,Non-use;Prevention
279858,,Nuclear-arms; Space-arms,Negotiations
279859,,Nuclear Weapons,Prohibition
279860,,Disarmament,Programme; Fellowship
279861,,World Disarmament,Action; Activity
279862,,Nuclear Weapons,Freeze
279863,,Disarmament,International co-operation
279864,,Nuclear Neutron Weapon,Prohibition
279865,,Disarmament,Adoption
279866,,Climatic effects;nuclear war;nuclear winter,
279867,,Disarmament,Report
279868,,Recommendation;Decision,Implementation
279869,Israel; Occupied Territories,Human Rights,Investigation
279870,Israel; Occupied Territories,Human Rights,Investigation
279871,Israel; Occupied Territories,Human Rights,Investigation
279873,Israel;Occupied Territories,Human Rights,Investigation
279874,Israel; Occupied Territories,Human Rights,Investigation
279875,Israel; Occupied Territories,Human Rights,Investigation
279876,Israel; Occupied Territories,Human Rights,Investigation
279877,,Information,
279878,,Information,
279879,Palestine,Assistance; Palestine refugees,
279880,Palestine,Higher Education;Vocational Training;Refugees,Offers;Grants;Scholarships
279881,Palestine; Gaza Strip,Palestine refugees,
279882,Palestine,Refugees;Ration Distribution,Resumption
279883,,Population;Refugees;Displacement,
279884,Palestine,Palestine refugees properties,Revenues
279885,Palestine,Protection; Palestine refugees,
279886,Palestine; West Bank,Refugees,
279887,Jerusalem; Palestine,Palestine refugees,
279888,Israel; Mediterranean Sea; Dead Sea,Canal,Decision; Building
279889,Middle East,,
279890,Middle East,,
279891,Middle East,,
279892,Palestinian territories,Economic development projects,
279893,Palestinian people,Assistance,
279894,,International economic security,
279895,States,Economic Rights;Duties,Charter
279896,Land-locked developing countries,Needs; Problems,Action
279897,developing countries,economic measures;political coercion;economic coercion,means
279898,Nicaragua,Trade embargo,
279899,,Transfer of Technology,Reversal
279900,,Remnants of war,
279901,,Environment,International co-operation
279902,Palestinian territories;Palestinian people,Living conditions,
279903,,Economic Development,Trend Analysis
279904,,Programme budget; Biennium,
279905,,Financial emergency; United Nations,
279906,Lebanon,UN Interim Force,Financing
279907,Lebanon,UN Interim Force,Financing
279908,troop-contributing States,rates of reimbursement,review
279909,,Scale of assessments; Apportionment; Expenses; United Nations,
279910,Nairobi,,
279911,,Budget Appropriations;Biennium 1986-1987,
279912,,Income estimates,
279913,,Financing; Appropriations,Adoption
279914,,Expenses,Approval
279915,,Working Capital Fund,
279916,,Emoluments;pension scheme;conditions of service;International Court of Justice,adoption
280663,United Nations;League of Arab States,Co-operation,
280664,Kampuchea,,
280665,Israel;Iraq,Nuclear installations;Nuclear energy;Non-proliferation of nuclear weapons;International peace and security,Aggression
280666,Non-Self-Governing Territories,Information,Transmission
280668,Namibia;southern Africa,Declaration on the Granting of Independence to Colonial Countries and Peoples;colonial domination;colonialism;apartheid;racial discrimination,Activities;implementation;efforts;elimination
280669,Colonial Countries;Peoples,Declaration;Independence,Implementation
280670,Western Sahara,,
280671,Comorian island of Mayotte,,
280672,Nicaragua,Military activities;Paramilitary activities,Judgment;Compliance
280673,Afghanistan,International Peace;Security,
280674,,Law of the Sea,
280675,South Africa,Liberation Movements,Assistance
280676,South Africa,Racism,Sanctions
280677,Israel;South Africa,Relations,
280678,,Apartheid,Programme of work
280679,,Apartheid in Sports,Convention
280680,South Africa,Oil embargo,
280681,,Apartheid,International Action; Elimination
280682,Organization of African Unity; Socialist People's Libyan Arab Jamahiriya; United States,Aerial and Naval Military Attack,Declaration
280683,Namibia;South Africa,Illegal occupation;Territory,
280684,Namibia,Security Council resolution 435,Implementation
280685,Namibia,Programme of work,
280686,Namibia,Dissemination of information;Mobilization of international public opinion;Independence,Support
280687,Namibia,Fund,
280688,Falkland Islands;Malvinas,,
280689,Colonial Countries;Peoples,Declaration;Independence,Implementation;Granting
280690,Colonial Countries;Peoples,Declaration;Independence,Implementation;Granting
280691,,Decolonization,Dissemination of information
280692,Palestine,,Resolution
280693,Palestine,,
280694,Palestine,,
280695,Palestine,,
280696,,UN Disengagement Observer Force,Financing
280697,,UN Disengagement Observer Force,Financing
280698,Latin America,Treaty for the Prohibition of Nuclear Weapons; Additional Protocol I; Treaty of Tlatelolco,Implementation; Signature; Ratification
280699,,Nuclear-test explosions,Cessation
280700,,Nuclear-test explosions,Cessation
280701,,Nuclear-test-ban treaty,Need
280702,South Asia,Nuclear-weapon-free zone,Establishment
280703,non-nuclear-weapon States,security;nuclear weapons,strengthening
280704,non-nuclear-weapon States,nuclear weapons,assurance
280705,,Arms Race; Outer Space,Prevention
280706,,Nuclear-weapon tests,Implementation; Cessation; Prohibition
280707,Africa,Denuclearization,Implementation
280708,Africa; South Africa,Denuclearization; Nuclear Capability,Implementation
280709,,Weapons of Mass Destruction,Prohibition; Development; Manufacture
280710,,Chemical Weapons;Bacteriological Weapons,Prohibition
280711,,Chemical Weapons;Bacteriological Weapons;Biological Weapons,
280712,,Disarmament; Military Matters,Objective Information
280713,,Disarmament;Arms Limitation,Contribution
280714,,Disarmament;Confidence-building measures;Security-building measures;Conventional disarmament,
280715,,General disarmament; Conventional disarmament,
280716,,Military use; Research and development,Study
280717,,Disarmament;Radiological Weapons,Prohibition;Development;Production;Stockpiling;Use
280718,,Disarmament; Naval armaments,Disarmament
280719,,Disarmament; Fissionable Material; Weapons,Prohibition
280720,regional basis,general disarmament;complete disarmament;conventional disarmament,
280721,,Disarmament;nuclear tests,Notification
280722,,World Disarmament Campaign,Review; Implementation; Action; Activity
280723,,World Disarmament Campaign,Review; Implementation
280724,,Concluding Document;Confidence-Building Measures,Review;Implementation
280725,,Concluding Document of the 12th Special Session; Nuclear Weapons,Review; Implementation; Freeze
280726,,Convention on the Prohibition of the Use of Nuclear Weapons,Review; Implementation
280727,,Concluding Document of the 12th Special Session of the General Assembly; UN programme of fellowships on disarmament,Review; Implementation
280728,,Concluding Document of the 12th Special Session; Nuclear Arms Freeze,Review; Implementation
280729,Israel; Occupied Territories,Human Rights,Investigation
280730,Israel; Occupied Territories,Human Rights,Investigation
280731,Israel;Occupied Territories,Human Rights,Investigation
280732,Israel;Occupied Territories,Human Rights,Investigation
280733,Israel; Occupied Territories,Human Rights,Investigation
280734,Israel;Occupied Territories,Human Rights,Investigation
280735,Israel;Occupied Territories,Human Rights,Investigation
280736,,Information,
280737,,Information,
280738,,Information,Question
280739,Palestine; Near East,Relief; Assistance; Refugees,Provision; Support
280740,Palestine; Near East,Relief; Works Agency; Refugees; Grants; Scholarships,Provision
280741,Palestine; Gaza Strip,Relief; Refugees,
280742,Palestine;Near East,Relief;Works;Ration Distribution,Resumption
280743,Palestine; Near East,Relief; Works; Population; Refugees,Displacement
280744,Palestine; Near East,Relief; Works Agency; Refugees; Revenues; Properties,
280745,Palestine; Near East,Relief; Works Agency; Protection; Refugees,Protection
280746,Palestine;West Bank;Near East,Relief;Works;Palestine Refugees,
280747,Palestine; Near East; Jerusalem,Relief; Refugees,
280748,Organization of African Unity;League of Arab States,National Liberation Movements,Observer Status
280749,,International Law;International Economic Order,Development
280750,,Peace and Security of Mankind,Draft Code of Offences
280752,,Nuclear-arms,Negotiations
280753,,Nuclear weapons;nuclear war,Non-use;prevention
280754,,Disarmament,Promotion
280755,,Nuclear-arms race;nuclear disarmament,Cessation
280756,,Nuclear War,Prevention
280757,,Climatic effects;nuclear war;nuclear winter,
280758,,Recommendation; Decision,Implementation; Review
280759,,Recommendation;Decision;Implementation,Review
280760,,Disarmament,International co-operation
280761,,Disarmament,Report
280762,,Nuclear-arms,Negotiations
280763,,Recommendation;Decision,Implementation
280764,,Disarmament,Report
280765,Antarctica,,
280766,Antarctica,,
280767,Antarctica,,
280768,,Declaration on the Strengthening of International Security; International Security,Review; Implementation
280769,,Political Dialogue;International Situation,Improvement
280771,,International peace; Security,Establishment
280772,Israel,Nuclear Armament,
280773,South Africa,Human Rights;Political Assistance;Military Assistance;Economic Assistance;Racism;Colonialism,Enjoyment
280774,colonial countries;peoples,right of peoples to self-determination;independence;human rights,realization;granting;guarantee;observance
280775,,Mercenaries;Human Rights;Right of Peoples to Self-Determination,Violation;Impediment
280776,,International Convention; Suppression; Punishment; Crime of Apartheid,
280777,,Human rights;Scientific and technological developments,
280778,,Human rights;Scientific and technological developments,Adoption
280780,,Economic rights;Social rights;Cultural rights;Civil rights;Political rights,Indivisibility;Interdependence
280781,South Africa;Namibia,Refugee Women;Refugee Children,Measures of Assistance
280782,,Right to Development,Declaration
280783,,United Nations system;Human rights;Fundamental freedoms,Improvement
280784,Member States,Right to own property; Economic development; Social development,Respect; Contribution
280785,,Right to development,
280786,Ethiopia,Displaced persons,Assistance
280787,,Prevention of Discrimination; Protection of Minorities,Resolution; Adoption
280788,,Right to adequate housing,Realization
280789,,Migrant Workers;Human Rights;Dignity,Improvement;Ensurance
280790,,Human Rights,Strengthening; International Co-operation
280791,Guatemala,Human Rights;Fundamental Freedoms,
280792,El Salvador,Human Rights,
280793,Afghanistan,Human Rights;Fundamental Freedoms,
280794,Islamic Republic of Iran,Human Rights,
280795,Chile,Human Rights;Fundamental Freedoms,
280796,Middle East,,
280797,Middle East,,
280798,Middle East,,
280799,Nicaragua,Trade embargo,
280800,developing countries,economic measures;political coercion;economic coercion,means
280801,Lebanon,UN Interim Force,Financing
280803,Lebanon,UN Interim Force,Financing
280804,Developing countries;Developed countries,Net transfer of resources,
280805,Palestinian people,Assistance,
280806,,,Implementation
280807,,Cultural Development,Proclamation
280808,Uganda,Assistance,
280809,Mozambique,Assistance,
280810,front-line States,Special assistance,
280811,Benin;Central African Republic;Comoros;Democratic Yemen;Djibouti;Equatorial Guinea;Gambia;Guinea;Guinea-Bissau;Haiti;Madagascar;Nicaragua;Sierra Leone;Vanuatu,,Assistance
280812,,Health insurance coverage; Locally-recruited staff; General service; Designated duty stations,
280813,,Political Affairs;Security Council Affairs,News Service
280814,,United Nations Industrial Development Organization,Loan
